bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,book_genre,genres.children,"genres.comics, graphic","genres.fantasy, paranormal",genres.fiction,"genres.history, historical fiction, biography","genres.mystery, thriller, crime",genres.non-fiction,genres.poetry,genres.romance,genres.young-adult,Months_Until_Today,co-authors,author_rating,book_format,audio 0 book 1
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,0739322206,9780739322208,eng,6,1266,253,2005-03-23,Random House Audio,genres.fiction,0,0,0,1,0,0,0,0,0,0,222,Stephen Fry,4.19,audio,0
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517149257,9780517149256,eng,815,2877,195,1996-01-17,Wings Books,genres.fiction,0,0,0,1,0,0,0,0,0,0,332,,4.19,book,1
21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184,eng,544,248558,9396,2004-09-14,Broadway Books,"genres.history, historical fiction, biography",0,0,0,0,1,0,0,0,0,0,228,,4.01,book,1
22,Bill Bryson's African Diary,Bill Bryson,3.44,0767915062,9780767915069,eng,55,7270,499,2002-12-03,Broadway Books,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,249,,4.01,book,1
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,0767910435,9780767910439,eng,256,2088,131,2004-09-14,Broadway Books,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,228,,4.01,book,1
24,In a Sunburned Country,Bill Bryson,4.07,0767903862,9780767903868,eng,335,72451,4245,2001-05-15,Broadway Books,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,268,,4.01,book,1
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780767903820,eng,304,49240,2211,2000-06-28,Broadway Books,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,279,,4.01,book,1
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,9780060920081,eng,299,45712,2257,1990-08-28,William Morrow Paperbacks,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,397,,4.01,book,1
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,0380713802,9780380713806,eng,254,48701,2238,1993-03-28,William Morrow Paperbacks,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,366,,4.01,book,1
28,Notes from a Small Island,Bill Bryson,3.91,0380727501,9780380727506,eng,324,80609,3301,1997-05-28,William Morrow Paperbacks,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,316,,4.01,book,1
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,0380715430,9780380715435,eng,270,28489,2085,1991-09-28,William Morrow Paperbacks,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,384,,4.01,book,1
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9780345538376,eng,1728,101233,1550,2012-09-25,Ballantine Books,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,132,,4.31,book,1
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618517650,9780618517657,eng,1184,1710,91,2004-10-21,Houghton Mifflin Harcourt,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,227,,4.31,book,1
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,0618346252,9780618346257,eng,398,2128944,13670,2003-09-05,Houghton Mifflin Harcourt,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,240,,4.31,book,1
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618260587,9780618260584,eng,1216,1618,140,2002-10-01,Houghton Mifflin Harcourt,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,251,Alan Lee,4.31,book,1
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith,4.53,0618391002,9780618391004,eng,218,19822,46,2003-11-05,Houghton Mifflin Harcourt,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,238,Christopher  Lee/Richard Taylor,4.53,book,1
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,0618510826,9780618510825,eng,224,359,6,2004-11-15,Houghton Mifflin Harcourt,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,226,,4.46,book,1
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas,3.84,097669400X,9780976694007,eng,558,1430,59,2005-07-28,Pragmatic Bookshelf,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,218,David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,4.22,book,1
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,0689840926,9780689840920,eng,208,270244,12017,2000-04-01,Atheneum Books for Young Readers: Richard Jackson Books,genres.fiction,0,0,0,1,0,0,0,0,0,0,281,,3.75,book,1
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,0385326505,9780385326506,eng,144,2067,334,2001-01-23,Delacorte Press,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,272,,3.75,book,1
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9781595580276,eng,228,99,16,2005-11-01,The New Press,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,214,,3.69,book,1
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight,3.76,1595962808,9781595962805,eng,304,167,4,2005-11-01,Changeling Press,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,214,Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,4.0,book,1
58,Changeling (Changeling  #1),Delia Sherman,3.6,0670059676,9780670059676,eng,256,978,111,2006-08-17,Viking Juvenile,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,205,,3.9,book,1
59,The Changeling Sea,Patricia A. McKillip,4.06,0141312629,9780141312620,eng,137,4454,302,2003-04-14,Firebird,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,245,,3.99,book,1
61,The Changeling,Zilpha Keatley Snyder,4.17,0595321801,9780595321803,eng,228,1176,96,2004-06-08,iUniverse,genres.children,1,0,0,0,0,0,0,0,0,0,231,,3.82,book,1
63,The Changeling,Kate Horsley,3.55,1590301943,9781590301944,eng,339,301,43,2005-04-12,Shambhala,genres.fiction,0,0,0,1,0,0,0,0,0,0,221,,3.77,book,1
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,0449146979,9780449146972,eng,369,345,12,1990-08-28,Ivy Books,"genres.history, historical fiction, biography",0,0,0,0,1,0,0,0,0,0,397,,3.89,book,1
67,The Known World,Edward P. Jones,3.83,0061159174,9780061159176,eng,388,29686,2626,2006-08-29,Amistad,genres.fiction,0,0,0,1,0,0,0,0,0,0,205,,3.85,book,1
68,The Known World,Edward P. Jones,3.83,006076273X,9780060762735,eng,14,55,12,2004-06-15,HarperAudio,genres.fiction,0,0,0,1,0,0,0,0,0,0,231,Kevin R. Free,3.85,audio,0
69,The Known World,Edward P. Jones,3.83,0060749911,9780060749910,eng,576,22,3,2004-06-15,Harper,genres.fiction,0,0,0,1,0,0,0,0,0,0,231,,3.85,book,1
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9780273704744,eng,334,1456,82,2006-05-15,FT Press,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,208,,3.72,book,1
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,eng,352,52,4,2005-12-14,Archaia,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,213,,3.84,book,1
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee,4.42,0374517193,9780374517199,eng,416,562,37,1982-06-01,Farrar  Straus and Giroux,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,495,William Howarth,4.15,book,1
75,Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,eng,248,1630,203,2006-05-16,Farrar Straus Giroux,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,208,,4.15,book,1
76,Heirs of General Practice,John McPhee,4.17,0374519749,9780374519742,eng,128,268,22,1986-04-01,Farrar  Straus and Giroux,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,449,,4.15,book,1
77,The Control of Nature,John McPhee,4.24,0374522596,9780374522599,eng,288,3498,305,1990-09-01,Farrar  Straus and Giroux,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,396,,4.15,book,1
78,Annals of the Former World,John McPhee,4.34,0374518734,9780374518738,eng,720,3115,228,1999-01-06,Farrar  Straus and Giroux,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,296,,4.15,book,1
79,Coming Into the Country,John McPhee,4.22,0374522871,9780374522872,eng,448,5704,261,1991-04-01,Farrar  Straus and Giroux,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,389,,4.15,book,1
80,La Place de la Concorde Suisse,John McPhee,3.92,0374519323,9780374519322,fre,160,698,52,1994-04-01,Farrar  Straus and Giroux,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,353,,4.15,book,1
81,Giving Good Weight,John McPhee,4.23,0374516006,9780374516000,eng,288,542,36,1994-04-01,Farrar  Straus and Giroux,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,353,,4.15,book,1
83,Rising from the Plains,John McPhee,4.23,0374520658,9780374520656,eng,208,1341,98,1987-11-01,Farrar  Straus and Giroux,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,430,,4.15,book,1
85,The Heidi Chronicles,Wendy Wasserstein,3.75,0822205106,9780822205104,eng,81,1423,70,2002-03-01,Dramatists Play Service,genres.fiction,0,0,0,1,0,0,0,0,0,0,258,,3.62,book,1
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,0679734996,9780679734994,eng,249,2766,64,1991-07-02,Vintage,genres.fiction,0,0,0,1,0,0,0,0,0,0,386,,3.62,book,1
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker,4.46,0800793617,9780800793616,eng,192,860,53,2003-09-01,Chosen Books,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,240,Rolland Baker,4.46,book,1
93,Heidi (Heidi  #1-2),Johanna Spyri,3.99,0753454947,9780753454947,eng,352,153317,2257,2002-11-15,Kingfisher,genres.children,1,0,0,0,0,0,0,0,0,0,250,Beverly Cleary/Angelo  Rinaldi,3.97,book,1
98,What to Expect the First Year (What to Expect),Heidi Murkoff,3.89,0761129588,9780761129585,eng,832,11797,659,2003-10-16,Workman Publishing Company,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,239,Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.76,book,1
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss,3.82,0972016414,9780972016414,eng,123,34,8,2004-05-10,One Hour Entertainment,"genres.history, historical fiction, biography",0,0,0,0,1,0,0,0,0,0,232,Libby Keatinge,3.57,book,1
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9781581805635,eng,128,78,4,2004-08-19,North Light Books,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,229,,3.77,book,1
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,0441294677,9780441294671,eng,423,2785,166,1987-06-15,Ace Books,genres.fiction,0,0,0,1,0,0,0,0,0,0,435,,4.07,book,1
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,0441102670,9780441102679,eng,436,38778,568,1987-07-01,Ace Books,genres.fiction,0,0,0,1,0,0,0,0,0,0,434,,4.07,book,1
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,0441172695,9780441172696,eng,331,97494,2359,1987-07-15,Ace Books,genres.fiction,0,0,0,1,0,0,0,0,0,0,434,,4.07,book,1
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,0765306476,9780765306470,eng,592,784,21,2004-07-01,Tor Books,"genres.history, historical fiction, biography",0,0,0,0,1,0,0,0,0,0,230,,3.67,book,1
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,0399128980,9780399128981,eng,480,272,20,1984-04-16,Putnam,genres.fiction,0,0,0,1,0,0,0,0,0,0,473,,4.07,book,1
110,The Road to Dune,Frank Herbert,3.88,0765353709,9780765353702,eng,426,4789,83,2006-08-29,Tor Science Fiction,genres.fiction,0,0,0,1,0,0,0,0,0,0,205,Brian Herbert/Kevin J. Anderson,4.07,book,1
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,0441328008,9780441328000,eng,471,45388,644,1987-08-15,Ace Books,genres.fiction,0,0,0,1,0,0,0,0,0,0,433,,4.07,book,1
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,0618212906,9780618212903,eng,192,26153,102,2002-06-12,Houghton Mifflin Harcourt,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,255,,4.38,book,1
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,544,69167,4551,1996-09-29,Ballantine Books,genres.fiction,0,0,0,1,0,0,0,0,0,0,324,,4.17,book,1
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,9780385732543,eng,291,45,13,2005-09-13,Delacorte Books for Young Readers,genres.fiction,0,0,0,1,0,0,0,0,0,0,216,,4.17,book,1
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell,4.28,0785260056,9780785260059,eng,256,16,1,2004-11-01,Thomas Nelson,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,226,Stephen R. Graves/Thomas G. Addington,4.16,book,1
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,0471780936,9780471780939,eng,205,174,16,2006-05-19,Wiley,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,208,,3.38,book,1
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9780060762872,eng,336,76,9,2005-05-03,William Morrow Paperbacks,"genres.history, historical fiction, biography",0,0,0,0,1,0,0,0,0,0,220,,3.39,book,1
133,eBay for Dummies,Marsha Collier,3.5,0470045299,9780470045299,eng,386,111,9,2006-10-30,Wiley,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,203,,3.53,book,1
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,0764569244,9780764569241,eng,384,55,4,2004-09-17,Wiley,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,228,,3.53,book,1
141,Ruby Cookbook,Lucas Carlson,3.84,0596523696,9780596523695,eng,873,166,4,2006-07-29,O'Reilly Media,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,206,Leonard Richardson,3.81,book,1
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,0806523492,9780806523491,eng,240,50,5,2005-05-03,Citadel,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,220,,3.92,book,1
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,9780806525365,eng,206,13,2,2005-05-03,Citadel,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,220,,3.92,book,1
151,Anna Karenina,Leo Tolstoy,4.05,0143035002,9780143035008,eng,838,16643,1851,2004-05-31,Penguin Classics,genres.fiction,0,0,0,1,0,0,0,0,0,0,232,Richard Pevear/Larissa Volokhonsky,4.04,book,1
152,Anna Karenina,Leo Tolstoy,4.05,0451528611,9780451528612,eng,960,109420,5696,2002-11-05,Signet,genres.fiction,0,0,0,1,0,0,0,0,0,0,250,David Magarshack/Priscilla Meyer,4.04,book,1
153,Anna Karenina,Leo Tolstoy,4.05,0140449175,9780140449174,eng,837,2904,309,2003-01-30,Penguin Books,genres.fiction,0,0,0,1,0,0,0,0,0,0,248,Richard Pevear/Larissa Volokhonsky/John Bayley,4.04,book,1
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman,3.85,0822001837,9780822001836,eng,80,16,3,1965-11-26,Cliffs Notes,"genres.history, historical fiction, biography",0,0,0,0,1,0,0,0,0,0,694,Leo Tolstoy,3.67,book,1
155,Anna Karenina,Leo Tolstoy,4.05,1593080271,9781593080273,eng,803,9564,726,2003-07-01,Barnes & Noble Classics,genres.fiction,0,0,0,1,0,0,0,0,0,0,242,Amy Mandelker/Constance Garnett,4.04,book,1
156,Anna Karenina,Leo Tolstoy,4.05,0486437965,9780486437965,eng,752,474,72,2004-11-23,Dover Publications,genres.fiction,0,0,0,1,0,0,0,0,0,0,226,Louise Maude/Aylmer Maude,4.04,book,1
157,Anna Karenina,Leo Tolstoy,4.05,1593081774,9781593081775,eng,803,303,48,2004-08-26,Barnes & Noble,genres.fiction,0,0,0,1,0,0,0,0,0,0,229,Constance Garnett/Amy Mandelker,4.04,book,1
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,0778322270,9780778322276,eng,360,411,65,2006-01-28,Mira Books,genres.fiction,0,0,0,1,0,0,0,0,0,0,212,,3.79,book,1
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,9780521313254,eng,128,1204,33,1987-11-26,Cambridge University Press,genres.fiction,0,0,0,1,0,0,0,0,0,0,430,,4.17,book,1
162,Untouchable,Mulk Raj Anand,3.71,0140183957,9780140183955,eng,160,3429,279,1990-07-03,Penguin Books,genres.fiction,0,0,0,1,0,0,0,0,0,0,398,E.M. Forster,3.69,book,1
163,The Untouchable,John Banville,3.95,0679767479,9780679767473,eng,367,2163,216,1998-06-30,Vintage,genres.fiction,0,0,0,1,0,0,0,0,0,0,303,,3.56,book,1
164,The Untouchables,Eliot Ness,3.89,1568491980,9781568491981,eng,256,613,31,1996-02-01,Buccaneer Books,"genres.history, historical fiction, biography",0,0,0,0,1,0,0,0,0,0,331,Oscar Fraley,3.86,book,1
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,9780743270793,eng,320,308,40,2005-09-27,Scribner,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,216,,3.96,book,1
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon,3.65,0742508803,9780742508804,eng,224,16,4,2000-12-20,Rowman & Littlefield Publishers,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,273,Gail Omvedt/Eleanor Zelliot,3.52,book,1
180,Wrinkles in Time,George Smoot,4.01,0380720442,9780380720446,eng,360,1035,23,1994-10-01,Harper Perennial,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,347,Keay Davidson,3.95,book,1
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,0751506435,9780751506433,eng,367,376,17,1994-06-01,Little  Brown Book Group,"genres.history, historical fiction, biography",0,0,0,0,1,0,0,0,0,0,351,,4.08,book,1
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9780060786717,eng,352,3086,237,2006-01-03,William Morrow,"genres.mystery, thriller, crime",0,0,0,0,0,1,0,0,0,0,212,,3.93,book,1
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor,3.94,0743499344,9780743499347,eng,320,352,44,2005-11-01,Atria Books,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,214,Charley Boorman/Robert Uhlig,3.91,book,1
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,0765313405,9780765313409,eng,331,9852,633,2006-03-07,Tor Books,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,210,,4.13,book,1
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford,3.9,1400032490,9781400032495,eng,244,821,78,2004-08-10,Vintage Crime/Black Lizard,"genres.mystery, thriller, crime",0,0,0,0,0,1,0,0,0,0,229,James Lee Burke,3.99,book,1
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford,4.05,1400032482,9781400032488,eng,215,731,72,2005-03-08,Vintage Crime/Black Lizard,"genres.mystery, thriller, crime",0,0,0,0,0,1,0,0,0,0,222,Lawrence Block,3.99,book,1
216,Miami Blues (Hoke Moseley #1),Charles Willeford,3.94,1400032466,9781400032464,eng,191,2897,178,2004-08-10,Vintage Crime/Black Lizard,"genres.mystery, thriller, crime",0,0,0,0,0,1,0,0,0,0,229,Elmore Leonard,3.99,book,1
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,0679732527,9780679732525,eng,144,98,11,1990-10-03,Vintage,"genres.mystery, thriller, crime",0,0,0,0,0,1,0,0,0,0,395,,3.99,book,1
231,I am Charlotte Simmons,Tom Wolfe,3.42,0312424442,9780312424442,eng,738,20888,1688,2005-08-30,Picador USA,genres.fiction,0,0,0,1,0,0,0,0,0,0,217,,3.84,book,1
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,0140366601,9780140366600,eng,287,81,6,1996-10-03,Puffin,genres.poetry,0,0,0,0,0,0,0,1,0,0,323,,4.11,book,1
245,Henry Miller on Writing,Henry Miller,4.22,0811201120,9780811201124,eng,217,981,52,1964-02-01,New Directions Publishing,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,715,Thomas H. Moore,3.81,book,1
247,Quiet Days in Clichy,Henry Miller,3.69,080213016X,9780802130167,eng,154,3381,141,1994-01-13,Grove Press,genres.fiction,0,0,0,1,0,0,0,0,0,0,356,,3.81,book,1
249,Tropic of Cancer,Henry Miller,3.68,0802131786,9780802131782,eng,318,53206,2376,1994-01-06,Grove Press,genres.fiction,0,0,0,1,0,0,0,0,0,0,356,Jiří Níl,3.81,book,1
250,Tropic of Capricorn,Henry Miller,3.78,0802151825,9780802151827,eng,348,14872,459,1994-01-13,Grove Press,genres.fiction,0,0,0,1,0,0,0,0,0,0,356,,3.81,book,1
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,0802151787,9780802151780,eng,316,3261,58,1994-01-13,Grove Press,genres.fiction,0,0,0,1,0,0,0,0,0,0,356,,3.81,book,1
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,0802151809,9780802151803,eng,506,7805,251,1994-01-12,Grove Press,genres.fiction,0,0,0,1,0,0,0,0,0,0,356,,3.81,book,1
253,The Air-Conditioned Nightmare,Henry Miller,3.83,0811201066,9780811201063,eng,292,2699,142,1970-01-17,New Directions,genres.fiction,0,0,0,1,0,0,0,0,0,0,644,,3.81,book,1
264,The Portrait of a Lady,Henry James,3.78,0141439637,9780141439631,eng,797,61640,1951,2003-09-30,Penguin Classics,genres.fiction,0,0,0,1,0,0,0,0,0,0,240,Patricia Crick,3.63,book,1
269,The Portrait of a Lady,Henry James,3.78,1593080964,9781593080969,eng,635,392,41,2004-01-16,Barnes  Noble Classics,genres.fiction,0,0,0,1,0,0,0,0,0,0,236,Gabriel Brownstein/Mary Cregan,3.63,book,1
277,Writing,Marguerite Duras,3.75,1571290532,9781571290533,eng,91,778,44,1999-05-06,Brookline Books,genres.non-fiction,0,0,0,0,0,0,1,0,0,0,292,,3.74,book,1
278,The War,Marguerite Duras,3.85,1565842219,9781565842212,eng,192,963,65,1994-08-01,The New Press,"genres.history, historical fiction, biography",0,0,0,0,1,0,0,0,0,0,349,Barbara Bray,3.74,book,1
280,The Ravishing of Lol Stein,Marguerite Duras,3.66,0394743040,9780394743042,eng,181,2057,128,1986-03-12,Pantheon,genres.fiction,0,0,0,1,0,0,0,0,0,0,450,Richard Seever,3.74,book,1
285,Love Letters,Kahlil Gibran,3.68,1851681825,9781851681822,eng,178,203,8,1999-07-01,One World (UK),genres.poetry,0,0,0,0,0,0,0,1,0,0,290,Suheil Bushrui/Salma H. Al-Kuzbari,4.15,book,1
288,Kahlil Gibran: His Life and World,Jean Gibran,4.21,156656249X,9781566562492,eng,464,35,2,1998-04-01,Interlink Publishing Group,"genres.history, historical fiction, biography",0,0,0,0,1,0,0,0,0,0,305,جبران خليل جبران/Kahlil Gibran,4.24,book,1
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran,4.19,014019553X,9780140195538,eng,102,328,16,1998-01-01,Penguin Books,genres.poetry,0,0,0,0,0,0,0,1,0,0,308,John Walbridge/Robin A.H. Waterfield,4.15,book,1
290,Jesus the Son of Man,Kahlil Gibran,3.98,0394431243,9780394431246,eng,216,1308,82,1995-02-21,Knopf,genres.poetry,0,0,0,0,0,0,0,1,0,0,343,جبران خليل جبران,4.15,book,1
